开心消消乐剧情里，玩家需要营救的人是谁？,村长,校长,船长,,a
开心消消乐游戏登录页面有几个动物,5,6,7,,c
下面不属于开心消消乐游戏中的障碍是哪个？,章鱼毒液,染色宝宝,魔法蛋糕,,c
至今为止，开心消消乐手机版现在已经更新到多少关,858关,1425关,348关,,b
在开心消消乐中，关于小黄鸡的名字，正确的是。,莱萌,嘟嘟,紫咪,,a
下面选项中的谁不属于开心消消乐游戏中的角色,爱逗,小猪,栗雄,,b
开心消消乐游戏中购买道具的虚拟币叫什么名字,金币,风车币,开心宝,,b
以下哪款游戏是三消类手游？,开心水族箱,偶像梦幻祭,开心消消乐,,c
开心消消乐没有出现过在以下哪部影视作品中？,《我的前半生》,《小美好》,《那件疯狂的小事叫爱情》,,b
开心消消乐的姊妹篇叫做什么？,海滨消消乐,消消乐海滨假日,消消乐假日版,,a
开心消消乐是哪个公司开发的？,乐元素,腾讯,奇虎360,,a
以下哪个不是开心消消乐游戏中的道具？,小木槌,刷新,冲浪板,,c
以下哪款游戏属于赛车类型游戏,大话西游,QQ飞车,少年三国志,,b
以下哪款游戏属于海战题材游戏,战舰帝国,坦克大战,波克捕鱼,,a
《王者荣耀》游戏里所说的"普攻"，有一种通俗的说法是?,平A,技能,大招,,a
《王者荣耀》比赛中为什么要购买装备?,保暖,好看,变强,,c
《开心消消乐》是一款什么类型的游戏,格斗,消除,养成,,b
《王者荣耀》最多可以支持多少人共同进行比赛,5,20,10,,c
以下哪款游戏不是腾讯公司发行的游戏,波克捕鱼,王者荣耀,QQ飞车,,a
以三国为背景题材的是哪款游戏,少年三国志,水浒Q传,大天使之剑,,a
俗称为“消方块”的小游戏是？,贪吃鱼,俄罗斯方块,荒野行动,,b
腾讯公司的一款叫做“LOL“的游戏是？,穿越火线,绝地求生,英雄联盟,,c
《火影忍者》中抓走我爱罗的组织是？,晓,忍刀七人众,鹰小队,,a
以下哪款游戏是由电视剧改编而成,花千骨,大天使之剑,王者荣耀,,a
以下哪款游戏是由电视剧改编而成,梦幻西游,倩女幽魂,火影忍者,,b
以下哪款游戏不是益智消除类游戏,开心消消乐,宾果消消消,欢乐斗地主,,c
网易《荒野行动》游戏中一局可以进入多少人,100,50,60,,a
网易《荒野行动》游戏中最多可以支持几个组队,4,5,6,,a
“地主”是哪个游戏中的经典角色?,赢三张,斗地主,麻将,,b
属于体育类的游戏是？,魂斗罗：归来,波克捕鱼,最强NBA,,C
愤怒的小鸟里的小鸟不包括？,紫色小鸟,红色小鸟,黑色小鸟,,a
“雷电”的游戏类别为?,动作类,益智类,射击类,,c
以捕鱼为题材的游戏是？,波克捕鱼,梦幻西游,火影忍者,,a
以坦克为题材的游戏是？,坦克大战,战舰帝国,王者舰队,,a
以下哪款游戏属于海战题材游戏,王者舰队,坦克大战,波克捕鱼,,a
以下哪款游戏不属于动漫改编,火影忍者,热血精灵王,水果忍者,,c
热血精灵王-去吧皮卡丘 是由哪部动漫改编而成,火影忍者,宠物小精灵,熊出没,,b
“王炸”是斗地主中最大的牌型，有些地方又称为“天炸”，下面哪个是“王炸”牌型,大小王,4个A,4个K,,a
斗地主当中的顺子最少需要几张牌组成,5,6,7,,a
斗地主常规玩法中是几个人进行？,3,4,5,,a
汤姆猫是下面哪款游戏的主要角色？,魂斗罗：归来,倩女幽魂,汤姆猫跑酷,,c
以下哪个不是《王者荣耀》当中的角色,甄姬,吕布,海绵宝宝,,b
以下哪个不是《荒野行动》当中的枪械,AK47,M4A1,激光炮,,c
以下哪个不是《荒野行动》当中的枪械,S-ACR,SK12霰弹枪,M37-SS,,c
微微一笑很倾城电视剧中的游戏是？,倩女幽魂,诛仙,天龙八部,,a
乔峰是哪个游戏当中的经典角色,倩女幽魂,诛仙,天龙八部,,c
以下哪个不是《少年三国志》当中的角色,赵云,关羽,孙悟空,,c
赵丽颖代言过下面哪款游戏,诛仙,花千骨,倩女幽魂,,b
以下哪款游戏不是三国题材类型,三国志2017,三国群英传,乱斗西游,,c
以下哪款游戏不是西游题材类型,大话西游,倩女幽魂,乱斗西游,,b
以下哪款游戏与其他两款不是一个游戏类型,光荣使命,乱世王者,穿越火线,,b
以下哪款游戏与其他两款不是一个游戏类型,全民枪战,QQ飞车,荒野行动,,b
《王者荣耀》游戏中英雄最多可以穿戴几件装备,6,4,8,,a
《王者荣耀》游戏中英雄最高等级是多少,16,18,14,,a
《王者荣耀》以下哪位英雄拥有4个技能,大乔,吕布,李白,,a
游戏商城当中出售的“双倍经验卡”的效果是？,获得双倍经验,获得双倍金币,获得双倍物品,,a
《魂斗罗》系列游戏最早出现在哪台主机？,红白机（FC）,PS,XBOX,,a
《超级马里奥兄弟》系列游戏哪家公司开发的游戏？,任天堂,世嘉,腾讯,,a
《小米枪战》是哪家公司的游戏？,小米,网易,腾讯,,a
游戏当中“HP”代表角色的哪想属性,攻击力,血量,魔法值,,b
游戏当中“力量”属性可以增加角色的哪项能力,防御力,攻击力,魔法值,,b
游戏当中“魔抗”属性可以增加角色的哪项能力,魔法防御力,物理防御力,魔法攻击力,,a
腾讯游戏DNF的中文名称是？,地下城与勇士,穿越火线,英雄联盟,,a
以下在PC和手机端都有的游戏是？,乱斗西游,少年三国志,龙之谷,,c
《龙腾传世》主题曲是以下哪位歌手演唱,陈小春,郑伊健,陈奕迅,,a
以下哪款游戏不是网易公司发行的？,梦幻西游,大话西游,梦幻诛仙,,c
开心消消乐游戏中多少点精力值是满值？,10,30,100,,b
开心消消乐是多少人都在玩的三消游戏？,3亿,5亿,7亿,,c
开心消消乐哪一关有出现520的字样,520关,521关,1314关,,c
开心消消乐玩一个关卡消耗多少精力值？,3,5,10,,b
以下哪种动物在开心消消乐的周赛中出现过,长颈鹿,白老虎,羊驼,,b
开心消消乐游戏界面是什么场景？,大藤蔓,河流,小路,,a
开心消消乐的小动物里，么么狐耳朵上有一个什么图案？,圆形,花瓣形,心形,,c
开心消消乐第2关里，需要消除的目标是,熊,河马,鸡,,a
开心消消乐第1关的地格是什么形状的？,心形,方形,菱形,,a
开心消消乐游戏登录页面有几个动物,5,6,7,,c
开心消消乐手机版是哪一年上线的？,2013年,2014年,2015年,,b
开心消消乐的金银果树中共有几种果实？,5,4,3,,c
唱《敢玩才会爆》的嘻哈歌手是：,黄旭,艾福杰尼,GAI,,a
《感觉自己萌萌哒》这首歌是由谁唱的？,贾玲和大张伟,贾玲和刘维,谢娜和大张伟,,b
《皇室战争》加时赛是多长时间？,1分钟,2分钟,3分钟,,a
《皇室战争》中以下哪个骷髅手中没有易燃易爆物品？,炸弹兵,骷髅巨人,骷髅兵,,c
《皇室战争》中哥布林穿的什么裤子？,运动裤,牛仔裤,背带裤,,c
《皇室战争》中以下三种法术，哪一个法术不能直接造成部队位移？,飓风法术,火球,狂暴法术,,c
《拳皇》是我们很多人玩过的游戏，请问 它是哪个国家开发的的,中国,日本,美国,,b
《皇室战争》中哥布林投矛手的肩膀上为什么要背一个袋子？,为了偷金币,为了装矛,为了装军粮,,b
《荒野行动》游戏中玩家可以携带几把枪,2,3,1,,a
《火影忍者》中的第五代火影是谁？,旗木卡卡西,千手纲手,波风水门,,b
《火影忍者》中，宇智波佐助所拥有的瞳术的名字是？,光盘眼,白眼,轮回眼,写轮眼,d
《刀剑神域》中桐人的真名是什么？,桐谷和人,桐山和人,桐和谷人,桐叶和人,a
圣斗士星矢的看家技能是？,天马钻石拳,天马陨石拳,天马流星拳,天马星辰拳,c
《蜡笔小新》中主人公小新的姓氏是什么？,小山,风间,吉永,野原,d
《英雄传说》系列中，噬身之蛇执行者的NO.XV是,“漆黑之牙”,“歼灭天使”,“瘦狼”,“剑帝”,b
"""既不回头，何必不忘”出自哪部游戏？",仙剑奇侠传,隋唐英雄传,三国赵云传,金庸群侠传,a
下列不是暴雪公司所制作的游戏的是哪一项？,星际争霸,极品飞车,暗黑破坏神,魔兽世界,b
《仙剑奇侠传3》中的男主角是谁？,李逍遥,景天,王小虎,,b
《仙剑奇侠传》中李逍遥偷看了谁洗澡？,林月如,赵灵儿,阿奴,,b
《仙剑奇侠传一》中林家替林月如找夫婿的方法是,比武招亲,红娘介绍,文学考试,,a
《仙剑奇侠传三》片头动画中，被魔尊重楼毁坏的是,蜀山锁妖塔,西湖雷峰塔,大理千寻塔,,a
《仙剑奇侠传中》五毒兽通过修练，可以产生,五毒珠,玉佛珠,圣灵珠,,a
以下哪个游戏系列不是EA出品,孤岛惊魂系列,孤岛危机系列,荣誉勋章系列,死亡空间系列,a
在《阴阳师》当中以下哪个不是SSR?,妖刀姬,茨木童子,大天狗,妖狐,D
《波克捕鱼》金币为0时，每天可领取几次救济金？,5次,4次,3次,,C
《天龙八部》中，下列武器哪个不是大理段式的独门武功？,凌波微步,一阳指,六脉神剑,,a
《如龙》系列是哪款主机的独占游戏？,PS,wii,xbox,,a
《梦幻西游》中下列哪个门派擅长治疗法术,普陀山,方寸山,月宫,,a
《皇室战争》一场比赛最久是多长时间,2分钟,3分钟,4分钟,,c
《皇室战争》野蛮人小屋产出野蛮人，烈焰熔炉产出烈焰精灵，那哥布林小屋会产出什么呢？,哥布林,哥布林投矛手,哥布林飞桶,,b
以下哪个不是大话西游手游中的召唤兽?,鸡驴,浪淘沙,范式之魂,五叶,A
大话西游手游中的故事发生在哪个朝代?,秦,明,唐,宋,C
《大话西游手游》中拿环或者灯笼的是哪位,狐美人,幽梦影,玄剑娥,夜溪灵,D
以下哪个不是《大话西游手游》中的神兽?,羊驼,浪淘沙,范式之魂,五叶,A
以下哪个不是《大话西游手游》中科举活动的内容?,省试,乡试,面试,,C
《大话西游手游》中以下哪个种族擅长回血、复活队友?,男鬼,女魔,男人,女仙,A
拿剑或扇子的是哪位——逍遥生,虎头怪,逍遥生,骨精灵,狐美人,B
《大话西游手游》以下几种游戏内的召唤兽中，有翅膀的是?,冥灵妃子,蝴蝶仙子, 狮蝎,雷鸟,B
游戏中有五行相克的说法，其中克木的是?,水,火,金,土,C
倩女幽魂中"倩"字一共由多少笔画组成?,10画,11画,12画,13画,A
《大话西游手游》中使用棍或枪的角色是哪位,虎头怪,逍遥生,骨精灵,狐美人,A
《大话西游手游》中以下哪个种族的特有技能可以为队友增加抗性?,男鬼,女魔,男人,女仙,B
《大话西游手游》中地府的鬼门关由哪两位人物看守?,牛头、马面,王朝、马汉,张龙、赵虎,,A
使用爪或鞭子的角色是哪位——狐美人,虎头怪,逍遥生,骨精灵,狐美人,D
《永恒纪元》第六条战龙叫什么名字？,混沌元龙,大地幼龙,苍穹圣龙,,A
《永恒纪元》魔域争霸进入的时间是？,周日、一、三、五,周六、二、四,二、四,,A
《永恒纪元》最好的永恒武器叫什么名字?,创世永恒武器,超级永恒武器,神奇永恒武器,,A
《永恒纪元》巅峰五转之后的戒指统称叫什么？,龙裔篇,精灵篇,矮人篇,,A
《永恒纪元》可以加经验的符文叫什么符文?,祝福符文,神迹符文,经验符文,,A
《永恒纪元》可以加经验的聚魂叫什么,历练之魂,坚守之魂,庇佑之魂,,A
《永恒纪元》多少级可以创建龙骑士角色？,280级,260级,250级,,A
《永恒纪元》目前版本一个玩家有多少条战龙？,6条,5条,8条级,,A
《永恒纪元》广场秘道有多少个BOSS?,10个,8个,6个,,B
《永恒纪元》幻彩坐骑装备放入多少颗幻彩原石才能100%合成？,5颗,4颗,3颗,,A
《永恒纪元》永恒装备总共有多少个部位？,10个,8个,6个,,A
《永恒纪元》魔域争霸地图中有多少个BOSS？,8个,7个,6个,,B
《永恒纪元》广场秘道进入一次需要消耗多少【秘道卷轴】？,4张,3张,2张,,C
《永恒纪元》秘道卷轴在哪里掉落？,灵魂广场,恶魔深渊,灵魂试炼场,,A
《永恒纪元》当前游戏内有多少种职业？,2个,3个,4个,,C
《小冰冰传奇》和DC合作的英雄不包括哪个？,闪电侠,钢铁侠,蝙蝠侠,,B
以下哪个选项是《问道》手游中的神兽？,草泥马,功夫熊猫,疆良,,C
《狼人杀》中可以用毒药毒死其它人的角色是？,女巫,白雪公主,白狼王,,A
手游《率土之滨》中共有多少个州郡？,10个,11个,12个,13个,D
手游《恋与制作人》中，以下哪位角色的身份是总裁？,许墨,白起,李泽言,周棋洛,C
动漫《哆啦A梦》中，哆啦A梦的身体最初是什么颜色？,红色,黄色,蓝色,绿色,B
《镇魔曲》手游中共有几种职业？,6,7,8,9,C
下列哪个选项不是《仙剑奇侠传3D回合》中的宠物？,熊本熊,雪纹虎,新年包子,闪电,D
2017年11月30日《列王的纷争》游戏中推出的新英雄是？,干将,莫邪,秦始皇,亚历山大,B
开心消消乐游戏中的障碍物-"章鱼"释放的是什么？,毒液,金币,银币,,A
开心消消乐中障碍物-"鸡窝"通过邻近消除几次才会产生小鸡？,2,3,4,5,B
下面不属于开心消消乐游戏中的障碍是哪个？,冰块,灰色毛球,魔法蛋糕,,c
开心消消乐中障碍物-"小贝壳"在其周边进行几次消除会释放水母宝宝？,2,3,4,5,B
开心消消乐中"魔力鸟特效"需要几个相同小动物合成？,2,3,4,5,D
开心消消乐中"爆炸特效"需要几个相同小动物合成？,2,3,4,5,C
开心消消乐中"河马"的颜色是？,红,黄,蓝,绿,C
